,PHOT,WTOF,WTON,HROR
2014-12-31 23:00:00+00:00,0,0.301330319,0.223355187,0.206383909
2015-01-01 00:00:00+00:00,0,0.3011535,0.228023073,0.206383909
2015-01-01 01:00:00+00:00,0,0.299810218,0.235056866,0.206383909
2015-01-01 02:00:00+00:00,0,0.301966483,0.235218892,0.206383909
2015-01-01 03:00:00+00:00,0,0.303247637,0.237259963,0.206383909
2015-01-01 04:00:00+00:00,0,0.30321648,0.239204971,0.206383909
2015-01-01 05:00:00+00:00,0,0.304059974,0.251738147,0.206383909
2015-01-01 06:00:00+00:00,0,0.30330002,0.269160565,0.206383909
2015-01-01 07:00:00+00:00,0.001422295,0.306183528,0.26574261,0.206383909
2015-01-01 08:00:00+00:00,0.020750658,0.307172155,0.260768043,0.206383909
2015-01-01 09:00:00+00:00,0.05680406,0.305975033,0.275062797,0.206383909
2015-01-01 10:00:00+00:00,0.09028089,0.307254815,0.298100312,0.206383909
2015-01-01 11:00:00+00:00,0.112661004,0.307514656,0.317633283,0.206383909
2015-01-01 12:00:00+00:00,0.093936236,0.307483105,0.328656124,0.206383909
2015-01-01 13:00:00+00:00,0.061150147,0.305703861,0.312737289,0.206383909
2015-01-01 14:00:00+00:00,0.020005361,0.305526895,0.31094417,0.206383909
2015-01-01 15:00:00+00:00,0.001341735,0.305495558,0.358486635,0.206383909
2015-01-01 16:00:00+00:00,0,0.30546425,0.409264539,0.206383909
2015-01-01 17:00:00+00:00,0,0.305141768,0.448405398,0.206383909
2015-01-01 18:00:00+00:00,0,0.304819363,0.48003731,0.206383909
2015-01-01 19:00:00+00:00,0,0.304060355,0.512525594,0.206383909
2015-01-01 20:00:00+00:00,0,0.303301522,0.544780066,0.206383909
2015-01-01 21:00:00+00:00,0,0.302397319,0.569018621,0.206383909
2015-01-01 22:00:00+00:00,0,0.287524636,0.592721818,0.206383909
2015-01-01 23:00:00+00:00,0,0.177502708,0.609074553,0.206383909
2015-01-02 00:00:00+00:00,0,0.160899144,0.636650585,0.205454744
2015-01-02 01:00:00+00:00,0,0.164082941,0.659269026,0.204306952
2015-01-02 02:00:00+00:00,0,0.1889375,0.680659708,0.204525579
2015-01-02 03:00:00+00:00,0,0.194881324,0.698601364,0.203541758
2015-01-02 04:00:00+00:00,0,0.225835377,0.708802268,0.203815042
2015-01-02 05:00:00+00:00,0,0.289790104,0.71084445,0.20889812
2015-01-02 06:00:00+00:00,0,0.289760608,0.706983723,0.208351552
2015-01-02 07:00:00+00:00,0.001019629,0.279118918,0.720241837,0.207149104
2015-01-02 08:00:00+00:00,0.006775137,0.213678644,0.704781381,0.205618714
2015-01-02 09:00:00+00:00,0.017890296,0.236039285,0.694305202,0.205564058
2015-01-02 10:00:00+00:00,0.033875336,0.243863252,0.697643111,0.206930477
2015-01-02 11:00:00+00:00,0.046311707,0.240786765,0.695133276,0.20468955
2015-01-02 12:00:00+00:00,0.050960052,0.250496921,0.697785563,0.203651071
2015-01-02 13:00:00+00:00,0.036282943,0.282288841,0.683882332,0.207094447
2015-01-02 14:00:00+00:00,0.013851712,0.284293685,0.675285299,0.207695671
2015-01-02 15:00:00+00:00,0.001220823,0.286734229,0.666811868,0.207313074
2015-01-02 16:00:00+00:00,0,0.285833121,0.655308639,0.208843463
2015-01-02 17:00:00+00:00,0,0.276073982,0.675263192,0.208788806
2015-01-02 18:00:00+00:00,0,0.29143784,0.667146496,0.209827285
2015-01-02 19:00:00+00:00,0,0.29707088,0.652147713,0.210100568
2015-01-02 20:00:00+00:00,0,0.27656987,0.655307476,0.215402274
