PowerCapacity	Unit	Zone	Technology	Fuel	Efficiency	MinUpTime	MinDownTime	RampUpRate	RampDownRate	StartUpCost	NoLoadCost	RampingCost	PartLoadMin	MinEfficiency	StartUpTime	CO2Intensity	CHPType	CHPPowerToHeat	STOCapacity	STOSelfDischarge	STOMaxChargingPower	STOChargingEfficiency	id
16	Werkskraftwerk Sappi Alfeld_BNA0012a	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0012a
9.8	HKW Altenstadt_BNA0021	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0021
138.9	Zellstoff Stendal GmbH_BNA0027	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0		600					BNA0027
1.1	Blockheizkraftwerk 1_BNA1337b	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1337b
0.8	Blockheizkraftwerk 2_BNA1337c	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1337c
16	UTB_BNA0055	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0055
18.3	BHW Beeskow_BNA0062	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0062
17.7	BMKW Bergkamen_BNA0066	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0066
16.5	HHKW Berlin-Neukölln_BNA0068	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0068
20	ENERTRAG Netz GmbH  (UW Bertikow)_BNA0090	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0090
18.1	Biomassekraftwerk Bischofferode_BNA0103	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0103
18	Egger Kraftwerk Brilon_BNA0156a	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0156a
13.2	Werkskraftwerk Sappi Ehingen_BNA0232a	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0232a
8	Werkskraftwerk Sappi Ehingen_BNA0232b	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0232b
22	Emden Biomasse_BNA0244	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0244
20	Biomasse-HKW_BNA0250a	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0250a
12.6	BMKW Flörsheim Wicker_BNA0277	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0277
12.4	BKF_BNA0283	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0283
12.1	KWK Gütersloh_BNA0385	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0385
20	Biomasse-Verstromungs-Anlage_BNA0388	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0388
20	Müllverwertung Borsigstraße MVB_BNA0399	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0399
16.8	Enertec Hameln_BNA0408	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0408
18.6	Energieanlage 3_BNA1398	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1398
14	Bio HKW Herbrechtingen_BNA1501	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1501
78	Stora Enso Maxau_BNA0520	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0520
17.1	BMKW Königs Wusterhausen_BNA0549	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0549
15.1	BMHKW-BinderHolz_BNA0553	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0553
17.8	BioEnergie Park Klarsee_BNA1522	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1522
22	Landesbergen Biomasse_BNA0573	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0573
20	BMK Lünen _BNA0617	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0617
9.8	Biomasse-Heizkraftwerk Malchin_BNA0628	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0628
17.9	BMKW Mannheim_BNA0636	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0636
40	SCA Mannheim_BNA0637	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0637
15.6	KWK Neumarkt_BNA0692	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0692
20	Biomasse-HKW_BNA0775	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0775
12.3	Heizkraftwerk Pforzheim GmbH_BNA0797	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0797
15	BMHKW-RE Recklinghausen_BNA0826	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0826
13.3	UPM Schwedt_BNA1256	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1256
14	Heizkraftwerk der Sappi Stockstadt GmbH_BNA0926a	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0926a
8.7	BioHKW I_BNA1405b	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1405b
4.5	BioHKW II_BNA1405c	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1405c
1.9	PKV Kraftwerk_BNA1335c	DE	ICEN	BIO	0.4504	0	0	1	1	2000	0	0	0.2	0.45	7	0							BNA1335c
6.7	Wi-Biebrich_BNA1055	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1055
18.1	Biomasseheizkraftwerk Piesteritz_BNA0621	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA0621
10	Zolling_BNA1091	DE	STUR	BIO	0.38	9.558732394	7.812253521	0.040224969	0.040224969	2000	0	0	0.2	0.45	7	0							BNA1091
336	Heizkraftwerk Altbach/Deizisau_BNA0019	DE	STUR	HRD	0.44	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		280					BNA0019
433	Heizkraftwerk Altbach/Deizisau_BNA0020	DE	STUR	HRD	0.455	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		280					BNA0020
19	Reno De Medici_BNA1331	DE	STUR	HRD	0.2325	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA1331
717	Bergkamen_BNA0067	DE	STUR	HRD	0.3775	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		20					BNA0067
124	Reuter_BNA0082	DE	STUR	HRD	0.3475	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		244					BNA0082
89	Moabit_BNA0085a	DE	STUR	HRD	0.4	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		136					BNA0085a
282	Reuter West_BNA0086	DE	STUR	HRD	0.3925	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		363					BNA0086
282	Reuter West_BNA0087	DE	STUR	HRD	0.395	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		363					BNA0087
726	Kraftwerk Bexbach_BNA0093	DE	STUR	HRD	0.3825	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0093
43.3	HKW-Mitte_BNA0138	DE	COMC	HRD	0.468	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		121.6373634					BNA0138
119	KW Hastedt_BNA0144	DE	STUR	HRD	0.46	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		155					BNA0144
303	KW Hafen_BNA0146	DE	STUR	HRD	0.3725	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		39					BNA0146
350	Farge_BNA0147	DE	STUR	HRD	0.4425	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		26					BNA0147
95	HKW I_BNA0211	DE	STUR	HRD	0.3875	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		139					BNA0211
370	KW Walsum_BNA0216a	DE	STUR	HRD	0.395	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		295					BNA0216a
725	KW Walsum_BNA0216b	DE	STUR	HRD	0.4575	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0216b
283	Kraftwerk Ensdorf_BNA0252	DE	STUR	HRD	0.4525	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		60					BNA0252
106	Kraftwerk Ensdorf_BNA0253	DE	STUR	HRD	0.43	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		66					BNA0253
17.4	HKW Erlangen_BNA0261b	DE	STUR	HRD	0.375	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0261b
27	Heizkraftwerk FL_BNA0270	DE	COMC	HRD	0.504	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		40.5					BNA0270
29	Heizkraftwerk FL_BNA0271	DE	COMC	HRD	0.486	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		43.5					BNA0271
33	Heizkraftwerk FL_BNA0272	DE	COMC	HRD	0.4725	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		49.5					BNA0272
61.5	HKW West_BNA0289b	DE	STUR	HRD	0.3975	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		105					BNA0289b
61.5	HKW West_BNA0290	DE	STUR	HRD	0.3975	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		105					BNA0290
345	Scholven_BNA0331	DE	STUR	HRD	0.3475	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0331
345	Scholven_BNA0332	DE	STUR	HRD	0.345	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0332
70	FWK Buer_BNA0336	DE	STUR	HRD	0.3875	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0336
510	Staudinger_BNA0377	DE	STUR	HRD	0.405	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		300					BNA0377
800	Moorburg A_BNA1673	DE	STUR	HRD	0.4625	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		120					BNA1673
194	Tiefstack_BNA0402	DE	STUR	HRD	0.4075	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		785					BNA0402
800	Moorburg B_BNA1558	DE	STUR	HRD	0.4625	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		120					BNA1558
763.7	Westfalen_BNA0413c	DE	STUR	HRD	0.46	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0413c
136	GKH_BNA0420	DE	STUR	HRD	0.3975	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		212.5					BNA0420
136	GKH_BNA0421	DE	STUR	HRD	0.3975	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		212.5					BNA0421
125	Heizkraftwerk Heilbronn_BNA0432	DE	STUR	HRD	0.45	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		28					BNA0432
125	Heizkraftwerk Heilbronn_BNA0433	DE	STUR	HRD	0.45	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		28					BNA0433
778	Heizkraftwerk Heilbronn_BNA0434	DE	STUR	HRD	0.4475	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		550					BNA0434
449	KW Herne_BNA0450	DE	STUR	HRD	0.4575	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		550					BNA0450
690	KWM_BNA0464	DE	STUR	HRD	0.4325	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0464
794	Ibbenbüren_BNA0493	DE	STUR	HRD	0.4475	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		20					BNA0493
66	Heizkraftwerk_BNA0498	DE	COMC	HRD	0.4905	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		211.8947368					BNA0498
13.4	HKW Karcherstr._BNA0510b	DE	STUR	HRD	0.415	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0510b
517	Rheinhafen-Dampfkraftwerk_BNA0518a	DE	STUR	HRD	0.4375	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		220					BNA0518a
834	Rheinhafen-Dampfkraftwerk_BNA0518b	DE	STUR	HRD	0.46	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		220					BNA0518b
323	Gemeinschaftskraftwerk Kiel_BNA0526	DE	STUR	HRD	0.405	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		295					BNA0526
26	Kraftwerk L 57_BNA0557a	DE	STUR	HRD	0.3175	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0557a
110	Kraftwerk N 230_BNA0557b	DE	STUR	HRD	0.3525	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		460					BNA0557b
103	G-Kraftwerk_BNA0600b	DE	STUR	HRD	0.33	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		563.3307692					BNA0600b
149	KW Lünen_BNA0618	DE	STUR	HRD	0.415	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0618
324	KW Lünen_BNA0619	DE	STUR	HRD	0.4175	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0619
735	Trianel Kohlekraftwerk Lünen_BNA1508	DE	STUR	HRD	0.4575	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		35					BNA1508
255	GKM _BNA0644	DE	STUR	HRD	0.4375	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95							BNA0644
425	GKM _BNA0645	DE	STUR	HRD	0.38	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		500					BNA0645
435	GKM _BNA0646a	DE	STUR	HRD	0.4075	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		500					BNA0646a
843	GKM _BNA0646b	DE	STUR	HRD	0.4625	9.558732394	7.812253521	0.040224969	0.040224969	117242.17	0	0	0.3	0.395	7	0.95		500					BNA0646b
120	Kraftwerk I_BNA0662b	DE	COMC	HRD	0.2655	5	1	0.038508725	0.038508725	117242.17	0	0	0.3	0.395	7	0.95		285.8598726					BNA0662b
